grafema;fonema;pensar
xxx;XXX;ininteligiveis
[áâà];a;TIRAR ACENTOS GRAFICOS...
[éê];e;na
í;i;na
[óô];o;na
ú;u;na
ão;ãw;...exceto nasais
õe;õj;na
y;i;na
a-chi-ro-\''pi-ta;a-ki-ro-\''pi-ta;EXCECOES
am-Is-ter-\''dã;a-mis-ter-\''dã;PALAVRAS ESTRANGEIRAS
\''baha-mas;ba-\''rra-mas;na
\''brahma;brah-ma;na
'ca-tu-\''pi-ri';'ca-tu-pi-\''ri';na
'\b\''gai(s)?';'\''guei\1';na
'gai-(\'')dar';guei-\1dar;na
'ce-(\'')peus-pI';ce-\1pe-us-pI;na
'gron-\''chi';'gron-\''ki';na
hi-pi-e-;ri-pi-;na
'hos-\''tel';'ros-\''tel';na
'i-(\'')po-dI';ai-\1po-dI;na
'\''re-vei-lon';'re-vei-\''on';na
'\''je-ans';'\''dins';na
jun-g;i-un-g;na
'ma-ken-\''zi-e';'ma-\''ken-zi';na
'ma-\''nha-tan';'man-\''rra-tan';na
'mer-co-\''sul';'mer-co-''ssul';na
'mo-\''to-boi';'mo-to-\''boi';na
'\''pan a-me-ri-\''ca-n([oa])(s)?';'pa-na-me-ri-\''ca-n\1\2';na
pi-za;pi-tsa;(pizza)
'\''ses-c';'\''ses-kI';na
'\''sidI-nei';'\''si-dI-nei';na
'ca-tI-\''chu-p';'ke-tI-''xu-pI';na
'(\'')tI-chan';\1tSan;na
'tI-(\'')chau';\1tSau;na
'tI-(\'')che';\1tSe;na
'tI-(\'')chi';\1tSi;na
'tI-(\'')chum';\1tSum;na
'ca-ra-(\'')tI-cho';ca-\1ra-tSo;na
'te-le-ca-(\'')tI-ch';te-le-\1ke-tS;na
'\''chi';'\''ki';na
'Is-ki-nhe-\''a-dIs';'Is-kin-\''he-dIs';na
'ge-\''e-kIs';'\''gui-ks';na
'ho-lywo-\''o-d';'ro-li-\''u-dI';na
'fa-ce-bo-\''o-k';'fei-ssi-\''bu-kI';na
'\''bo-om';'\''bum';na
'bro-o-\''klin';'\''bru-klin';na
'go-\''o-gle';'\''gu-gou';na
'su-\''per';'\''su-per';na
'hi-\''per';'\''hi-per';na
'mas-\''ter';'\''mas-ter';na
'clu-\''ber';'\''clu-ber';na
'mo-\''le-tom';'mo-le-\''tom';na
'ul-\''tra-ssom';'ul-tra-\''ssom';na
'fe-e-\''lin';'\''fi-lin';Palavras estrangeiras menos frequentes (lista certamente incompleta)
'fo-\''o-d';'\''fu-dI';na
'fre-\''e-dom';'\''fri-dom';na
'que-\''ens-town';'\''kwins-town';na
'we-\''e-k';'\''wik';na
